,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,0,,,,,,6863000,,,,,,,,,
1,2000000,6.43,,,,,6,,,,,,,,,
2,103,,,,,,6863000,0.0,101.0,51.00713973480985,31.61955483540379,51.0,11.0,21.0,81.0,91.0
3,2000103,18.74,,,,,6,,,,,,,,,
4,104,8507,,,,,3431000,0.0,101.0,51.01428155056835,31.616330187688984,51.0,11.0,21.0,81.0,91.0
5,104,8532,,,,,3432000,1.0,101.0,51.0,31.622781208732672,51.0,11.0,21.0,81.0,91.0
6,2000104,20.77,,,,,6,,,,,,,,,
7,105,,,,,,6863000,364.0,729.0,364.0531837388897,4.405591789164763,364.0,364.0,364.0,364.0,364.0
8,2000105,40.81,,,,,6,,,,,,,,,
9,106,8507,,,,,3431000,364.0,729.0,364.1063829787234,6.230447914068731,364.0,364.0,364.0,364.0,364.0
10,106,8532,,,,,3432000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
11,2000106,43.11,,,,,6,,,,,,,,,
12,107,0,,,,,623000,364.0,729.0,364.58587479935795,14.611686938337957,364.0,364.0,364.0,364.0,364.0
13,107,1,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
14,107,2,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
15,107,3,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
16,107,4,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
17,107,5,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
18,107,6,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
19,107,7,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
20,107,8,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
21,107,9,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
22,107,10,,,,,624000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
23,2000107,32.11,,,,,6,,,,,,,,,
24,203,,,,,,6863000,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
25,2000203,26.69,,,,,6,,,,,,,,,
26,206,0,8507,,,,1715500,0.0,101.0,51.01428155056835,31.616334795142542,51.0,11.0,21.0,81.0,91.0
27,206,0,8532,,,,1716000,1.0,101.0,51.0,31.622785815783566,51.0,11.0,21.0,81.0,91.0
28,206,8756,8507,,,,3431000,0.0,101.0,51.01428155056835,31.616330187688984,51.0,11.0,21.0,81.0,91.0
29,206,8756,8532,,,,3432000,1.0,101.0,51.0,31.622781208732672,51.0,11.0,21.0,81.0,91.0
30,206,9202,8507,,,,1715500,0.0,101.0,51.01428155056835,31.616334795142542,51.0,11.0,21.0,81.0,91.0
31,206,9202,8532,,,,1716000,1.0,101.0,51.0,31.622785815783566,51.0,11.0,21.0,81.0,91.0
32,2000206,49.85,,,,,6,,,,,,,,,
33,213,0,,,,,3432000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,213,8756,,,,,6864000,27.0,30.0,29.4169087995338,0.861578269455348,30.0,29.0,29.0,30.0,30.0
35,213,9202,,,,,3432000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2000213,20.78,,,,,6,,,,,,,,,
37,403,,,,,,6818401,1.0,3.0,1.0118284330886376,0.11212891988096763,1.0,1.0,1.0,1.0,1.0
38,2000403,25.64,,,,,6,,,,,,,,,
39,406,0,8507,,,,2901124,0.0,101.0,51.012113580805234,31.617364912466783,51.0,11.0,21.0,81.0,91.0
40,406,0,8532,,,,2901844,1.0,101.0,51.0,31.622782050423417,51.0,11.0,21.0,81.0,91.0
41,406,22274,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
42,406,22274,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
43,406,22288,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
44,406,22288,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
45,406,22426,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
46,406,22426,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
47,406,22666,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
48,406,22666,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
49,406,22820,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
50,406,22820,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
51,406,22839,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
52,406,22839,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
53,406,22856,8507,,,,198,1.0,101.0,51.0,31.702935859821874,51.0,11.0,21.0,81.0,91.0
54,406,22856,8532,,,,198,1.0,101.0,51.0,31.702935859821874,51.0,11.0,21.0,81.0,91.0
55,406,22871,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
56,406,22871,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
57,406,22955,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
58,406,22955,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
59,406,23220,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
60,406,23220,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
61,406,23304,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
62,406,23304,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
63,406,23653,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
64,406,23653,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
65,406,23731,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
66,406,23731,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
67,406,23798,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
68,406,23798,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
69,406,23806,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
70,406,23806,8532,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
71,406,23865,8507,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
72,406,23865,8532,,,,66,1.0,101.0,51.0,31.86510027262766,51.0,11.0,21.0,81.0,91.0
73,406,23868,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
74,406,23868,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
75,406,23986,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
76,406,23986,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
77,406,23988,8507,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
78,406,23988,8532,,,,22,1.0,101.0,51.0,32.36694374850748,51.0,11.0,21.0,81.0,91.0
79,406,24148,8507,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
80,406,24148,8532,,,,132,1.0,101.0,51.0,31.74324475831448,51.0,11.0,21.0,81.0,91.0
81,406,24230,8507,,,,110,1.0,101.0,51.0,31.767504024184927,51.0,11.0,21.0,81.0,91.0
