,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,0,,,,,,100001,,,,,,,,,
1,2000000,0.35,,,,,6,,,,,,,,,
2,103,,,,,,100000,0.0,99.0,44.39126,24.613404352286135,44.0,10.0,25.0,63.0,77.0
3,2000103,0.46,,,,,6,,,,,,,,,
4,104,0,,,,,2086,0.0,99.0,44.75503355704698,24.498165371015766,45.0,10.0,26.0,63.0,77.0
5,104,8507,,,,,48319,0.0,99.0,44.518843519112565,24.615051354751756,45.0,10.0,25.0,63.0,77.0
6,104,8532,,,,,49595,0.0,99.0,44.25165843330981,24.61629812840007,44.0,10.0,25.0,63.0,77.0
7,2000104,0.72,,,,,6,,,,,,,,,
8,105,,,,,,100000,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
9,2000105,1.32,,,,,6,,,,,,,,,
10,106,0,,,,,2086,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
11,106,8507,,,,,48319,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
12,106,8532,,,,,49595,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
13,2000106,1.23,,,,,6,,,,,,,,,
14,107,0,,,,,9426,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
15,107,7,,,,,10894,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
16,107,9,,,,,3625,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
17,107,6,,,,,10678,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
18,107,4,,,,,14157,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
19,107,5,,,,,13999,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
20,107,2,,,,,12195,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
21,107,3,,,,,12298,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
22,107,1,,,,,9107,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
23,107,8,,,,,3621,364.0,364.0,364.0,0.0,364.0,364.0,364.0,364.0,364.0
24,2000107,0.9,,,,,6,,,,,,,,,
25,203,,,,,,100000,3.0,6.0,4.19338,0.5857368064891131,4.0,4.0,4.0,5.0,5.0
26,2000203,1.46,,,,,6,,,,,,,,,
27,206,0,0,,,,1961,0.0,99.0,44.62774094849566,24.461217230843005,45.0,11.0,25.0,63.0,77.0
28,206,0,8507,,,,45320,0.0,99.0,44.466659311562225,24.626517402802563,45.0,10.0,25.0,63.0,77.0
29,206,0,8532,,,,46484,0.0,99.0,44.244320626452115,24.590283877937296,44.0,10.0,25.0,63.0,77.0
30,206,8717,0,,,,2086,0.0,99.0,44.75503355704698,24.498165371015766,45.0,10.0,26.0,63.0,77.0
31,206,8717,8507,,,,48319,0.0,99.0,44.518843519112565,24.615051354751756,45.0,10.0,25.0,63.0,77.0
32,206,8717,8532,,,,49595,0.0,99.0,44.25165843330981,24.61629812840007,44.0,10.0,25.0,63.0,77.0
33,206,8756,0,,,,79,0.0,99.0,47.53164556962025,26.536784070339902,45.0,12.0,27.0,74.0,81.0
34,206,8756,8507,,,,1994,0.0,99.0,44.74874623871615,24.73681965808431,45.0,10.0,25.0,65.0,77.0
35,206,8756,8532,,,,1939,0.0,99.0,43.453842186694175,24.85907254006001,43.0,10.0,23.0,63.0,77.0
36,206,9201,0,,,,708,0.0,99.0,44.06497175141243,23.623131667648064,43.0,11.0,27.0,61.0,77.0
37,206,9201,8507,,,,16562,0.0,99.0,44.507668156019804,24.427491570612652,45.0,10.0,25.0,63.0,77.0
38,206,9201,8532,,,,17131,0.0,99.0,44.31971280135427,24.63311400303845,44.0,10.0,25.0,63.0,77.0
39,206,9202,0,,,,1819,0.0,99.0,44.8587135788895,24.531413701419556,45.0,10.0,26.0,63.0,77.0
40,206,9202,8507,,,,42101,0.0,99.0,44.55214840502601,24.618459924979728,45.0,10.0,25.0,63.0,77.0
41,206,9202,8532,,,,43240,0.0,99.0,44.2254625346901,24.604689747099787,44.0,10.0,25.0,63.0,77.0
42,206,38004218,0,,,,2086,0.0,99.0,44.75503355704698,24.498165371015766,45.0,10.0,26.0,63.0,77.0
43,206,38004218,8507,,,,48319,0.0,99.0,44.518843519112565,24.615051354751756,45.0,10.0,25.0,63.0,77.0
44,206,38004218,8532,,,,49595,0.0,99.0,44.25165843330981,24.61629812840007,44.0,10.0,25.0,63.0,77.0
45,2000206,2.6,,,,,6,,,,,,,,,
46,213,0,,,,,199758,0.0,10.0,2.467275403237918,3.324939095508559,0.0,0.0,0.0,5.0,8.0
47,213,8717,,,,,395932,-364.0,364.0,0.05892173403513735,149.018521476775,0.0,-202.0,-107.0,107.0,202.0
48,213,8756,,,,,4068,-358.0,362.0,-0.045476892822025564,149.774295060022,-1.0,-202.0,-109.0,106.0,203.0
49,213,9201,,,,,40052,0.0,10.0,2.4694896634375314,3.3236138069993886,0.0,0.0,0.0,5.0,8.0
50,213,9202,,,,,160188,0.0,10.0,2.473793292880865,3.331058429336836,0.0,0.0,0.0,5.0,8.0
51,213,38004218,,,,,399993,0.0,3.0,0.7453930443782766,1.0865231443610324,0.0,0.0,0.0,1.0,3.0
52,2000213,2.41,,,,,6,,,,,,,,,
53,403,,,,,,100000,16.0,43.0,28.55403,3.120813700604626,28.0,25.0,26.0,31.0,33.0
54,2000403,3.12,,,,,6,,,,,,,,,
55,406,0,0,,,,71,2.0,99.0,48.08450704225352,25.08542347310385,48.0,16.0,32.0,68.0,85.0
56,406,0,8507,,,,1868,0.0,99.0,44.39186295503212,25.01557261443617,44.0,10.0,24.0,63.0,78.0
57,406,0,8532,,,,1909,0.0,99.0,44.33839706652698,24.40129429471621,45.0,10.0,25.0,62.0,76.0
